,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
183,Hotel Andra München,7.9,"Ludwigsvorstadt, Munich",Good ,705 reviews,Price 399 zł,1.3 km from center,Single Room,3,,
184,Park Hotel Laim,8.2,"Laim, Munich",Very Good ,"1,224 reviews",Price 465 zł,4.7 km from center,Single Room,4,,
185,Hotel Lechnerhof Unterföhring,8.5,"Unterfohring, Munich",Very Good ,792 reviews,Original price 558 zł. Current price 475 zł.,7.9 km from center,Single Room,4,Breakfast included,
186,Arthotel Ana im Olympiapark,7.9,"Milbertshofen - Am Hart, Munich",Good ,"2,738 reviews",Price 554 zł,5.3 km from center,Quadruple Room,4,,
187,Hotel am Viktualienmarkt,7.8,"Altstadt - Lehel, Munich",Good ,966 reviews,Price 563 zł,400 m from center,Double Room,3,Breakfast included,Location 9.6
188,Hotel & Gaststätte zum Erdinger Weißbräu,8.7,"Hadern, Munich",Excellent ,435 reviews,Price 423 zł,7.7 km from center,Economy Single Room,0,,
189,Hotel New Orly,8.0,"Neuhausen - Nymphenburg, Munich",Very Good ,"3,145 reviews",Price 465 zł,3 km from center,Single Room,4,,
190,Abasto Hotel München Feldmoching,8.3,"Feldmoching - Hasenbergl, Munich",Very Good ,"2,087 reviews",Original price 432 zł. Current price 345 zł.,8.9 km from center,Double Room,3,,
191,Hotel Senator München,7.7,"Ludwigsvorstadt, Munich",Good ,"2,646 reviews",Price 450 zł,1.9 km from center,Single Room,3,Breakfast included,
192,Hyperion Hotel München,8.5,"Bogenhausen, Munich",Very Good ,"4,920 reviews",Price 614 zł,3.5 km from center,Comfort Room,5,,
193,a&o München Laim,6.6,"Laim, Munich",Review score ,"4,033 reviews",Price 98 zł,6 km from center,Bed in 6-Bed Mixed Dormitory Room,2,,
194,Seibel's Park Hotel,6.9,"Pasing - Obermenzing, Munich",Review score ,"1,027 reviews",Price 308 zł,9.4 km from center,Single Room,0,Breakfast included,
195,Hotel Kriemhild am Hirschgarten,8.7,"Neuhausen - Nymphenburg, Munich",Excellent ,491 reviews,Price 446 zł,5 km from center,Single Room,3,,
196,B&B Hotel München-Moosach,7.6,"Moosach, Munich",Good ,"2,168 reviews",Price 380 zł,7 km from center,Double Room,3,,
197,Hotel Kraft,8.7,"Ludwigsvorstadt, Munich",Excellent ,610 reviews,Price 513 zł,1.1 km from center,Single Room,3,,
198,Hotel Ritzi,7.7,"Au-Haidhausen, Munich",Good ,292 reviews,Price 629 zł,1.6 km from center,Single Room with Shower,0,Breakfast included,
199,Hotel Mariandl,7.4,"Ludwigsvorstadt, Munich",Good ,495 reviews,Price 459 zł,1.3 km from center,Double Room with Shared Bathroom,0,Breakfast included,
