,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
55,Bumblebee Luxury Apartments,9.5,"Lower Town, Zagreb",Exceptional ,513 reviews,Original price 413 zł. Current price 386 zł.,0.6 km from center,One-Bedroom Apartment,4,,Location 9.7
56,Main Square Modern Apartments,9.4,"Lower Town, Zagreb",Wonderful ,473 reviews,Original price 258 zł. Current price 241 zł.,300 m from center,Studio Apartment,4,,Location 9.8
57,LOOX serviced apartments Hatzova,9.3,"Lower Town, Zagreb",Wonderful ,443 reviews,Price 328 zł,0.7 km from center,Studio Apartment,3,,Location 9.7
58,B&B Fotić,8.9,"Lower Town, Zagreb",Excellent ,354 reviews,Price 401 zł,400 m from center,Studio,4,Breakfast included,Location 9.6
59,Premium Class Apartments II,9.3,"Lower Town, Zagreb",Wonderful ,78 reviews,Original price 328 zł. Current price 307 zł.,50 m from center,One-Bedroom Apartment,4,,Location 9.8
60,B&B Schlosser,8.7,"Lower Town, Zagreb",Excellent ,894 reviews,Original price 430 zł. Current price 402 zł.,500 m from center,Double Room with Private Bathroom,4,Breakfast included,Location 9.5
61,Apartments Lucky Place 2,9.0,"Lower Town, Zagreb",Wonderful ,906 reviews,Original price 235 zł. Current price 175 zł.,1 km from center,Studio,2,,Location 9.4
62,"Naomi app,Netflix,between bus and train station",9.3,"Lower Town, Zagreb",Wonderful ,46 reviews,Original price 205 zł. Current price 191 zł.,0.9 km from center,One-Bedroom Apartment,3,,
63,Annie's Bed&Breakfast,9.2,"Lower Town, Zagreb",Wonderful ,"1,301 reviews",Price 383 zł,0.9 km from center,Double Room with Private Bathroom,4,Breakfast included,
64,Apartment Nirvana,9.3,Zagreb,Wonderful ,161 reviews,Original price 197 zł. Current price 184 zł.,2 km from center,Apartment - Ground Floor,3,,
65,Guest House Nokturno,7.9,"Upper Town – Medvescak, Zagreb",Good ,715 reviews,Price 150 zł,200 m from center,Quadruple Room,3,,Location 9.5
66,Rooms Lidija,9.3,"Upper Town – Medvescak, Zagreb",Wonderful ,232 reviews,Price 197 zł,1.4 km from center,Standard Single Room,3,,Location 9.4
67,Hotel Jadran,8.5,"Lower Town, Zagreb",Very Good ,"1,951 reviews",Price 341 zł,0.6 km from center,Double Room,3,,Location 9.5
68,Hotel Jarun,9.4,"Jarun, Zagreb",Wonderful ,"1,348 reviews",Original price 493 zł. Current price 394 zł.,4.4 km from center,Double Room,3,,
69,Hotel Capital,9.4,"Lower Town, Zagreb",Wonderful ,515 reviews,Price 826 zł,400 m from center,Superior Double or Twin Room with Atrium View,4,,Location 9.9
70,Garden Hotel,7.9,"Lower Town, Zagreb",Good ,"2,821 reviews",Original price 355 zł. Current price 332 zł.,1.2 km from center,Economy Double Room,4,,
71,Apartments Lucky Place,9.1,"Lower Town, Zagreb",Wonderful ,639 reviews,Original price 282 zł. Current price 211 zł.,1 km from center,Studio with Double Bed,2,,Location 9.5
72,Mickey Mouse & Studio Mini,8.9,"Lower Town, Zagreb",Excellent ,405 reviews,Original price 244 zł. Current price 228 zł.,150 m from center,Studio,3,,Location 9.8
73,At queens,9.1,"Lower Town, Zagreb",Wonderful ,"1,027 reviews",Price 222 zł,0.7 km from center,Superior Apartment,3,,Location 9.5
74,Livris Hotel,9.2,Zagreb,Wonderful ,"1,442 reviews",Original price 313 zł. Current price 293 zł.,2.3 km from center,Budget Single Room,4,Breakfast included,
75,Bed & Breakfast Sky City Center,9.5,"Lower Town, Zagreb",Exceptional ,937 reviews,Price 501 zł,100 m from center,Double Room with Courtyard View,4,Breakfast included,Location 9.9
76,Palmers Lodge Hostel,7.8,"Lower Town, Zagreb",Good ,513 reviews,Price 130 zł,1 km from center,Bed in 4-Bed Female Dormitory Room,0,,
77,B&B Dolac,9.4,"Lower Town, Zagreb",Wonderful ,243 reviews,Original price 477 zł. Current price 446 zł.,50 m from center,Double Room with Private Bathroom,4,Breakfast included,Location 9.9
