,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
20,Moxy Edinburgh Fountainbridge,8.3,"Edinburgh City Centre, Edinburgh",Very Good ,"3,143 reviews",Price 387 zł,1.2 km from center,"Moxy Sleeper, Guest room, 1 Queen",4,,
21,Royal Mile Backpackers,8.5,"Old Town, Edinburgh",Very Good ,962 reviews,Price 106 zł,500 m from center,Bed in 10-Bed Female Dormitory Room,2,,Location 9.7
22,Point A Hotel Edinburgh Haymarket,8.5,"West End, Edinburgh",Very Good ,"6,140 reviews",Price 295 zł,1.1 km from center,Cozy Double Without Window,3,,
23,ibis budget Hotel Edinburgh Park,7.6,Edinburgh,Good ,"9,284 reviews",Price 327 zł,8 km from center,Classic Double Room,3,,
24,"Holiday Inn Express Edinburgh – Royal Mile, an IHG Hotel",8.2,"Old Town, Edinburgh",Very Good ,"3,545 reviews",Price 681 zł,0.5 km from center,Twin Room,3,Breakfast included,
25,Edinburgh Central Accommodation,7.9,"New Town, Edinburgh",Good ,"1,578 reviews",Price 158 zł,1.4 km from center,Bed in 6-Bed Male Dormitory Room,3,,
26,Garfield Guest House,8.2,Edinburgh,Very Good ,624 reviews,Price 289 zł,2.7 km from center,Twin Room with Private External Bathroom,4,,
27,a&o Edinburgh City,7.0,"Old Town, Edinburgh",Good ,"3,168 reviews",Price 140 zł,450 m from center,Bed in 8-Bed Dormitory Room,0,,
28,Apex Grassmarket Hotel,8.4,"Old Town, Edinburgh",Very Good ,"4,462 reviews",Price 648 zł,250 m from center,City Twin Room,4,,Location 9.6
29,Elder York Guest House,8.8,"New Town, Edinburgh",Excellent ,"1,146 reviews",Price 637 zł,0.9 km from center,Double Room,3,Breakfast included,Location 9.7
30,Argyle Backpackers,7.0,"Newington, Edinburgh",Good ,450 reviews,Price 87 zł,1.1 km from center,6-Bed Mixed Dormitory Room,0,,
