,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
139,Porto Bonjardim Apartments,9.1,"União de Freguesias do Centro, Porto",Wonderful ,311 reviews,Price 263 zł,250 m from center,Suite,3,,Location 9.8
140,Sheraton Porto Hotel & Spa,8.7,"Lordelo do Ouro e Massarelos, Porto",Excellent ,"1,226 reviews",Price 624 zł,2.8 km from center,"Deluxe, Guest room, 1 Queen",5,,
141,Vivacity Porto - Rooms & Apartments,8.4,"União de Freguesias do Centro, Porto",Very Good ,999 reviews,Price 249 zł,400 m from center,Double Room,3,,Location 9.6
142,Portus Cale Hotel,8.3,"Lordelo do Ouro e Massarelos, Porto",Very Good ,750 reviews,Price 304 zł,2.4 km from center,Standard Double Room with Extra Bed,4,,
143,BessaHotel Baixa,9.1,"União de Freguesias do Centro, Porto",Wonderful ,"3,016 reviews",Price 544 zł,0.6 km from center,Executive Double or Twin Room,4,,
144,Formosa Oporto Apartments Group,7.2,"União de Freguesias do Centro, Porto",Good ,"1,024 reviews",Price 174 zł,150 m from center,Standard Double Room with Shared Bathroom,3,,
145,Casa dos Lóios by Shiadu,8.9,"União de Freguesias do Centro, Porto",Excellent ,"1,198 reviews",Price 627 zł,0.5 km from center,Double Room,4,Breakfast included,Location 9.8
146,MyStay Porto Centro,8.2,"União de Freguesias do Centro, Porto",Very Good ,"1,654 reviews",Price 347 zł,400 m from center,Double Room with Balcony,4,,
147,HOSPEDARIA LONDRES,8.9,"Campanhã, Porto",Excellent ,60 reviews,Price 216 zł,2 km from center,Double Room,0,,
148,Pousada do Porto - Rua das Flores,9.0,"União de Freguesias do Centro, Porto",Wonderful ,759 reviews,Price 760 zł,0.7 km from center,Standard Double or Twin Room,4,Breakfast included,Location 9.8
149,Hotel da Música,8.4,"Lordelo do Ouro e Massarelos, Porto",Very Good ,"1,007 reviews",Price 427 zł,1.7 km from center,Single Room,4,Breakfast included,
150,Porto Antas Hotel,8.1,"Campanhã, Porto",Very Good ,679 reviews,Price 319 zł,2.3 km from center,Standard Double or Twin Room,3,Breakfast included,
151,Veneza,7.9,"Bonfim, Porto",Good ,347 reviews,Price 178 zł,1.8 km from center,Double Room,3,,
152,AC Hotel Porto by Marriott,8.1,"Campanhã, Porto",Very Good ,810 reviews,Price 343 zł,2.9 km from center,"Guest room, 1 Queen",4,,
153,The Editory Artist Baixa Porto Hotel,9.1,"Bonfim, Porto",Wonderful ,176 reviews,Price 596 zł,0.8 km from center,Twin Room,5,,
154,BF Apartments,9.2,"União de Freguesias do Centro, Porto",Wonderful ,593 reviews,Price 258 zł,0.6 km from center,Suite,3,,Location 9.7
155,Invictus Hostel,8.1,"União de Freguesias do Centro, Porto",Very Good ,777 reviews,Price 99 zł,350 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.3
156,"Pestana Palácio do Freixo, Pousada & National Monument - The Leading Hotels of the World",9.0,"Campanhã, Porto",Wonderful ,"1,410 reviews",Price 958 zł,3.1 km from center,Classic room,5,Breakfast included,
157,Lolla's City House,8.7,"Lordelo do Ouro e Massarelos, Porto",Excellent ,207 reviews,Price 221 zł,1.7 km from center,Superior Double Room,0,,
158,Boavista Class Inn,8.2,"Lordelo do Ouro e Massarelos, Porto",Very Good ,607 reviews,Original price 330 zł. Current price 314 zł.,2 km from center,Double Room,3,,
159,Hostel One Ribeira,9.2,"União de Freguesias do Centro, Porto",Wonderful ,921 reviews,Price 171 zł,0.6 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,Location 9.8
160,Change The World Hostels - Porto - Santa Catarina,8.6,"União de Freguesias do Centro, Porto",Excellent ,916 reviews,Price 99 zł,350 m from center,Bed in 6-Bed Dormitory Room,0,,Location 9.6
161,O'Porto Seven - Guest House,8.7,"União de Freguesias do Centro, Porto",Excellent ,406 reviews,Price 282 zł,1.7 km from center,Single Room,3,,
162,SUPERNOVA - Hostel & Café,8.4,"União de Freguesias do Centro, Porto",Very Good ,"1,485 reviews",Price 143 zł,400 m from center,Bed in 10-Bed Mixed Dormitory Room,0,,
163,Costa do Sol B&B,7.6,"Bonfim, Porto",Good ,876 reviews,Price 314 zł,1.2 km from center,Single Room,3,Breakfast included,
164,"Se Catedral Hotel Porto, Tapestry Collection By Hilton",9.2,"União de Freguesias do Centro, Porto",Wonderful ,472 reviews,Price 526 zł,0.7 km from center,Queen Guest Room,4,,Location 9.8
165,Portus Cale Hotel,8.3,"Lordelo do Ouro e Massarelos, Porto",Very Good ,750 reviews,Price 304 zł,2.4 km from center,Standard Double Room with Extra Bed,4,,
166,Lost Inn Porto Hostel,9.2,"União de Freguesias do Centro, Porto",Wonderful ,977 reviews,Price 100 zł,0.7 km from center,Bed in 10-Bed Mixed Dormitory Room,0,,Location 9.5
167,Impar Studios Deluxe,8.3,"União de Freguesias do Centro, Porto",Very Good ,365 reviews,Price 341 zł,500 m from center,Apartment with Balcony,3,,Location 9.5
168,Duas Nações Guest House,7.0,"União de Freguesias do Centro, Porto",Good ,"1,039 reviews",Original price 650 zł. Current price 330 zł.,400 m from center,Family Room with Shared Bathroom,0,,Location 9.4
169,Braganca Oporto,6.9,"União de Freguesias do Centro, Porto",Review score ,903 reviews,Price 286 zł,0.5 km from center,Single Room with Shared Bathroom,0,Breakfast included,Location 9.3
170,NH Collection Porto Batalha,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,155 reviews",Price 448 zł,0.5 km from center,Superior Double or Twin Room,4,,Location 9.4
171,Porto Coliseum Hotel,8.1,"União de Freguesias do Centro, Porto",Very Good ,"1,131 reviews",Price 455 zł,500 m from center,Standard Twin,3,Breakfast included,
172,Hotel da Música,8.4,"Lordelo do Ouro e Massarelos, Porto",Very Good ,"1,007 reviews",Price 427 zł,1.7 km from center,Single Room,4,Breakfast included,
173,Hotel S. Marino,7.7,"União de Freguesias do Centro, Porto",Good ,596 reviews,Price 260 zł,450 m from center,Double Room with City View,2,,Location 9.4
174,"Mouco Hotel - Stay, Listen & Play",9.0,"Bonfim, Porto",Wonderful ,"1,349 reviews",Price 347 zł,1.7 km from center,Standard Double Room,4,,
175,Braganca Oporto,6.9,"União de Freguesias do Centro, Porto",Review score ,903 reviews,Price 288 zł,0.5 km from center,Single Room with Shared Bathroom,0,Breakfast included,Location 9.3
176,NH Collection Porto Batalha,8.8,"União de Freguesias do Centro, Porto",Excellent ,"1,155 reviews",Price 448 zł,0.5 km from center,Superior Double or Twin Room,4,,Location 9.4
177,Porto Coliseum Hotel,8.1,"União de Freguesias do Centro, Porto",Very Good ,"1,131 reviews",Price 455 zł,500 m from center,Standard Twin,3,Breakfast included,
178,Hotel da Música,8.4,"Lordelo do Ouro e Massarelos, Porto",Very Good ,"1,007 reviews",Price 427 zł,1.7 km from center,Single Room,4,Breakfast included,
179,Hotel S. Marino,7.7,"União de Freguesias do Centro, Porto",Good ,596 reviews,Price 260 zł,450 m from center,Double Room with City View,2,,Location 9.4
180,"Mouco Hotel - Stay, Listen & Play",9.0,"Bonfim, Porto",Wonderful ,"1,349 reviews",Price 347 zł,1.7 km from center,Standard Double Room,4,,
181,Castelo Santa Catarina,9.3,"União de Freguesias do Centro, Porto",Wonderful ,"2,963 reviews",Price 455 zł,1.1 km from center,Double Room - Castle,3,Breakfast included,
182,Poveira Hotel,8.1,"Campanhã, Porto",Very Good ,959 reviews,Price 277 zł,2 km from center,Single Room,1,,
183,Predicados do Douro Palace,9.2,"Lordelo do Ouro e Massarelos, Porto",Wonderful ,863 reviews,Price 351 zł,1.2 km from center,Standard  Room,4,Breakfast included,
184,Guest House Estrela,7.1,"Bonfim, Porto",Good ,517 reviews,Price 131 zł,1.2 km from center,Double Room with Shared Bathroom,0,,
185,Oporto Loft,9.1,"Lordelo do Ouro e Massarelos, Porto",Wonderful ,230 reviews,Price 418 zł,1.1 km from center,Standard Double/Single Room,4,Breakfast included,
186,Stay Hotel Porto Centro Trindade,8.0,"União de Freguesias do Centro, Porto",Very Good ,"2,447 reviews",Price 289 zł,0.5 km from center,Twin Room,3,,
